ID,Followers,Answers
20151103043701AAWYUkT,9,10
20151103025221AA0CL1N,0,9
20151103011032AAUAwRE,0,10
20151103002408AAbm5Cj,0,5
20151102232153AAhU3Tv,0,8
20151102210445AAtJEMF,0,0
20151102205552AAWLIVn,0,10
20151102195600AAzNvdc,2,10
20151102191227AA5lyz1,8,10
20151102183013AApvbVQ,0,10
20151102181345AAyV8lu,0,5
20151102172153AAzlunU,0,8
20151102171553AAS4jkG,1,7
20151102170003AAjaSSm,0,10
20151102163604AAUOToR,0,6
20151102163458AA4fqnl,0,2
20151102155508AAjlEiG,0,4
20151102153603AA4umzu,0,10
20151102153029AAEC8SZ,0,6
20151102153017AAxBg8A,1,6
20151102152234AASj29x,0,5
20151102143246AAPshRJ,0,10
20151102132238AALAPpK,0,5
20151102125300AA4iyXB,0,10
20151102120047AAzwozq,1,9
20151102113639AAI8tjL,0,5
20151102112156AAuONxK,0,10
20151102100148AAn24EF,0,5
20151102100134AA0Um2x,0,10
20151102095934AAjvnDT,0,10
20151102095707AA8NTsj,0,5
20151102073906AA8FvKk,0,0
20151102072923AA12vsN,0,7
20151102070322AAVMzQd,0,9
20151102043147AAhJxOS,0,6
20151102022601AAw64dk,0,10
20151102022520AAM03zZ,0,9
20151102013121AALOhAq,0,10
20151101222422AAxpGp9,0,5
20151101210347AAyg8po,0,9
20151101210221AATACFT,0,10
20151101205336AAFslCy,0,6
20151101203529AAudX5m,0,10
20151101200551AAVyMa5,2,10
20151101195134AATJFuo,0,5
20151101193926AAzjV8R,0,6
20151101185721AAyZYkI,1,10
20151101184505AAigX0d,0,9
20151101181155AA3lXIe,0,5
20151101175758AArrc9K,0,4
20151101172912AAkcSPR,0,10
20151101163707AAnZCdX,0,7
20151101163046AA42hSu,0,3
20151101163028AAuXKat,0,0
20151101162142AAXIoqq,0,5
20151101152135AAvEfkO,1,7
20151101150148AABowKH,0,6
20151101134005AAytjBB,0,9
20151101133527AAtqMjM,0,10
20151101130116AAE73eU,0,10
20151101124412AAOmTY4,0,7
20151101114014AAe5Ayc,0,10
20151101104427AAMEcGq,0,10
20151101102143AAe4RQ7,0,9
20151101085853AAwsHo8,0,10
20151101070802AAC75cV,0,4
20151101063400AAY4tha,0,9
20151101035220AAju7z4,0,6
20151101013336AAFk0gZ,0,7
20151031232224AASi3gn,0,6
20151031220841AAq330o,0,10
20151031212428AAhk7E6,0,0
20151031204623AAJv8Ti,0,4
20151031200326AAZaGyI,0,4
20151031175427AAbKprI,0,9
20151031164704AAmGnE0,0,4
20151031131140AAw3Ojo,0,5
20151031131013AA6kntx,0,6
20151031121327AArIpNM,0,8
20151031105212AAlHtmC,0,4
20151031093429AAZVvEJ,0,10
20151031091036AAwVcrA,0,10
20151031073518AA7EAeG,0,10
20151031061217AAA1KJt,0,10
20151031043937AAmSON1,1,10
20151031013657AA7kRaX,0,9
20151030223151AAfM9zs,1,10
20151030183359AAC3dJN,0,5
20151030173459AAMGN8j,0,5
20151030132827AADNW4d,0,9
20151030115909AAsnJI8,0,10
20151030115328AAq47SV,0,9
20151030112142AAINh26,0,8
20151030071547AAL2XpH,0,4
20151030041233AAQsYEe,0,6
20151030025837AAWpx01,1,10
20151029192828AAo7b3n,0,6
20151029192431AAvZYS9,0,8
20151029140741AA0L9rP,0,5
20151029133653AABCXJ9,2,10
20151029120832AAY6Vfo,0,0
20151029105353AA5F8PQ,1,9
20151029084005AAZoOSc,0,6
20151029080528AApX6bY,0,6
20151029075311AAN1v4l,0,10
20151029053744AA4UMX0,0,9
20151029022439AAMNK75,2,10
20151028232423AAg47gb,0,5
20151028183914AAeygqE,14,10
20151028170221AAAaF37,0,5
20151028154331AAjaA9L,0,6
20151028154202AA9pDbL,0,2
20151028131431AAHLsQA,0,10
20151028130150AAkKGwn,0,3
20151028124443AAJqhlM,0,7
20151028122714AA6mXcC,0,10
20151028061202AAVe4bP,0,6
20151028055526AAQjvGp,0,4
20151027180358AA60KqN,1,5
20151027174537AAQwDgX,0,8
20151027172816AAKZkxF,0,5
20151027162802AAjPkgI,0,5
20151027151125AAe6he3,8,10
20151027150057AAveUD7,0,10
20151027141733AA6Xji4,0,10
20151027115748AALWQEX,0,6
20151027112427AAO5jer,1,5
20151027103223AAzuw1B,0,6
20151027090858AATeZLW,0,4
20151027080913AA0yU20,0,4
20151027075931AAY6XT0,0,7
20151027062909AA7GkZW,1,3
20151027033331AA7Qm3b,1,4
20151027031654AAwiYXG,0,5
20151027030248AAPCoIq,0,4
20151027024520AACXhZ4,0,9
20151026231957AAVKrJS,0,6
20151026222154AA9OCgv,0,2
20151026213846AAyLOvF,0,9
20151026193418AAGoh0T,0,9
20151026184753AAUULOy,0,6
20151026182734AAG0GNr,0,10
20151026173127AAzrdDS,0,10
20151026165944AAwRZTO,0,10
20151026163710AA40rRK,0,4
20151026163559AAcFiNh,0,8
20151026162349AAzs9XS,0,4
20151026140833AAt3uRU,0,0
20151026140544AAwELjT,0,6
20151026140450AAbjDYU,2,5
20151026140242AA7UgU7,0,10
20151026135256AARqGat,0,5
20151026133627AA5Gm20,0,4
20151026125824AAIAamD,0,2
20151026122623AAnlDP6,2,8
20151026114920AAvnV3I,0,10
20151026113329AAY8Pj8,0,3
20151026113315AAkcaLP,0,5
20151026112524AAY67cr,0,8
20151026111110AA9qcOW,0,4
20151026110358AAo1ZTp,1,9
20151026103934AAqwjBu,0,0
20151026094009AAz8zMW,0,9
20151026093338AAsiAoi,1,10
20151026093209AAS78EQ,0,8
20151026093030AAf2tj4,0,8
20151026091620AAqJTj3,0,4
20151026081112AA2GK2W,0,10
20151026075934AAT6naD,0,8
20151026075139AAkTiYw,0,9
20151026064820AAJPJMr,1,6
20151026044146AATfU9H,0,6
20151026031542AAsz2S9,0,3
20151026015842AAr5Y96,0,8
20151025234552AAlWgGc,0,5
20151025231725AA1LVrf,0,10
20151025224228AAomSKs,0,5
20151025211124AA5wtnc,0,5
20151025201537AAMCW3z,0,4
20151025201028AADEHxj,0,4
20151025195015AAuos0T,0,5
20151025194613AAhEkXA,0,6
20151025194220AAoNwHt,0,10
20151025192813AA6hPK3,0,8
20151025185118AACnLuA,0,7
20151025181124AAWsLQy,0,7
20151025172737AAcb1SQ,1,10
20151025171419AAOsbJ8,2,10
20151025170351AAVnA0R,0,7
20151025165156AA6bQpe,0,10
20151025161436AAG1XBJ,0,6
20151025154748AADoMBv,0,5
20151025141251AAN5LEV,0,8
20151025131227AAosqS2,0,5
20151025121420AAETFW6,1,9
20151025120951AAI9SqL,0,7
20151025103422AA8EpGO,0,8
20151025102341AAHEtJX,0,4
20151025095502AAiA7eC,0,2
20151025092430AAOqMam,1,7
20151025081543AA6SJ9Z,0,6
20151025075106AAhCCKO,1,9
20151025072450AAm2uyo,0,4
20151025062013AA8dy8A,0,6
20151025055614AAHuksu,1,7
20151025031859AA0B50U,0,3
20151025011343AAsoQ4D,0,5
20151024225353AAciXHE,0,5
20151024224252AAF0oQ3,0,10
20151024185326AAqyVbQ,0,10
20151024154903AAJO3oG,0,0
